group,member,treatment,treatment_centered,motivation,motivation_centered,pounds_lost,member_number
1,1,0,-0.59585,4,0.54663,15,1
1,2,0,-0.59585,4,0.54663,17,2
1,3,0,-0.59585,4,0.54663,15,3
1,4,0,-0.59585,4,0.54663,17,4
1,5,0,-0.59585,4,0.54663,16,5
1,6,0,-0.59585,6,2.54663,18,6
1,7,0,-0.59585,4,0.54663,15,7
1,8,0,-0.59585,3,-0.45337,20,8
1,9,0,-0.59585,5,1.54663,16,9
1,10,0,-0.59585,4,0.54663,15,10
2,11,0,-0.59585,4,0.54663,22,1
2,12,0,-0.59585,4,0.54663,20,2
2,13,0,-0.59585,3,-0.45337,14,3
2,14,0,-0.59585,3,-0.45337,13,4
2,15,0,-0.59585,4,0.54663,15,5
2,16,0,-0.59585,4,0.54663,18,6
2,17,0,-0.59585,5,1.54663,21,7
2,18,0,-0.59585,4,0.54663,16,8
2,19,0,-0.59585,5,1.54663,25,9
3,20,0,-0.59585,2,-1.45337,9,1
3,21,0,-0.59585,5,1.54663,17,2
3,22,0,-0.59585,1,-2.45337,2,3
3,23,0,-0.59585,3,-0.45337,11,4
3,24,0,-0.59585,5,1.54663,18,5
3,25,0,-0.59585,3,-0.45337,14,6
3,26,0,-0.59585,4,0.54663,17,7
3,27,0,-0.59585,4,0.54663,20,8
3,28,0,-0.59585,4,0.54663,16,9
3,29,0,-0.59585,4,0.54663,16,10
4,30,0,-0.59585,4,0.54663,13,1
4,31,0,-0.59585,3,-0.45337,9,2
4,32,0,-0.59585,2,-1.45337,6,3
4,33,0,-0.59585,2,-1.45337,11,4
4,34,0,-0.59585,3,-0.45337,10,5
4,35,0,-0.59585,3,-0.45337,9,6
4,36,0,-0.59585,4,0.54663,14,7
5,37,0,-0.59585,4,0.54663,14,1
5,38,0,-0.59585,4,0.54663,18,2
5,39,0,-0.59585,3,-0.45337,14,3
5,40,0,-0.59585,3,-0.45337,15,4
5,41,0,-0.59585,3,-0.45337,16,5
5,42,0,-0.59585,4,0.54663,18,6
6,43,0,-0.59585,5,1.54663,18,1
6,44,0,-0.59585,4,0.54663,16,2
6,45,0,-0.59585,2,-1.45337,16,3
6,46,0,-0.59585,2,-1.45337,11,4
6,47,0,-0.59585,4,0.54663,18,5
6,48,0,-0.59585,4,0.54663,13,6
6,49,0,-0.59585,5,1.54663,17,7
6,50,0,-0.59585,3,-0.45337,15,8
6,51,0,-0.59585,3,-0.45337,14,9
6,52,0,-0.59585,4,0.54663,17,10
6,53,0,-0.59585,5,1.54663,16,11
6,54,0,-0.59585,5,1.54663,19,12
6,55,0,-0.59585,4,0.54663,19,13
6,56,0,-0.59585,4,0.54663,14,14
7,57,0,-0.59585,4,0.54663,14,1
7,58,0,-0.59585,3,-0.45337,15,2
7,59,0,-0.59585,4,0.54663,13,3
7,60,0,-0.59585,3,-0.45337,12,4
7,61,0,-0.59585,4,0.54663,16,5
7,62,0,-0.59585,3,-0.45337,15,6
7,63,0,-0.59585,2,-1.45337,8,7
7,64,0,-0.59585,4,0.54663,13,8
7,65,0,-0.59585,4,0.54663,13,9
7,66,0,-0.59585,3,-0.45337,15,10
7,67,0,-0.59585,3,-0.45337,12,11
7,68,0,-0.59585,5,1.54663,19,12
7,69,0,-0.59585,4,0.54663,12,13
7,70,0,-0.59585,3,-0.45337,18,14
8,71,0,-0.59585,4,0.54663,11,1
8,72,0,-0.59585,3,-0.45337,13,2
8,73,0,-0.59585,3,-0.45337,12,3
8,74,0,-0.59585,3,-0.45337,12,4
8,75,0,-0.59585,4,0.54663,13,5
8,76,0,-0.59585,3,-0.45337,13,6
8,77,0,-0.59585,6,2.54663,20,7
8,78,0,-0.59585,5,1.54663,17,8
8,79,0,-0.59585,5,1.54663,11,9
8,80,0,-0.59585,3,-0.45337,14,10
8,81,0,-0.59585,5,1.54663,14,11
9,82,0,-0.59585,5,1.54663,13,1
9,83,0,-0.59585,2,-1.45337,9,2
9,84,0,-0.59585,3,-0.45337,8,3
9,85,0,-0.59585,4,0.54663,13,4
9,86,0,-0.59585,4,0.54663,11,5
9,87,0,-0.59585,3,-0.45337,11,6
9,88,0,-0.59585,3,-0.45337,13,7
9,89,0,-0.59585,4,0.54663,12,8
9,90,0,-0.59585,4,0.54663,18,9
9,91,0,-0.59585,5,1.54663,15,10
9,92,0,-0.59585,3,-0.45337,10,11
9,93,0,-0.59585,4,0.54663,18,12
10,94,0,-0.59585,3,-0.45337,12,1
10,95,0,-0.59585,4,0.54663,14,2
10,96,0,-0.59585,2,-1.45337,9,3
10,97,0,-0.59585,3,-0.45337,15,4
10,98,0,-0.59585,4,0.54663,12,5
10,99,0,-0.59585,5,1.54663,17,6
10,100,0,-0.59585,2,-1.45337,10,7
10,101,0,-0.59585,2,-1.45337,12,8
10,102,0,-0.59585,4,0.54663,13,9
10,103,0,-0.59585,2,-1.45337,10,10
11,104,0,-0.59585,4,0.54663,21,1
11,105,0,-0.59585,4,0.54663,19,2
11,106,0,-0.59585,5,1.54663,20,3
11,107,0,-0.59585,3,-0.45337,13,4
11,108,0,-0.59585,3,-0.45337,17,5
11,109,0,-0.59585,3,-0.45337,18,6
12,110,0,-0.59585,4,0.54663,13,1
12,111,0,-0.59585,3,-0.45337,12,2
12,112,0,-0.59585,1,-2.45337,7,3
12,113,0,-0.59585,2,-1.45337,13,4
12,114,0,-0.59585,4,0.54663,18,5
12,115,0,-0.59585,3,-0.45337,12,6
12,116,0,-0.59585,4,0.54663,16,7
13,117,0,-0.59585,4,0.54663,20,1
13,118,0,-0.59585,5,1.54663,21,2
13,119,0,-0.59585,2,-1.45337,7,3
13,120,0,-0.59585,3,-0.45337,15,4
13,121,0,-0.59585,4,0.54663,16,5
13,122,0,-0.59585,3,-0.45337,19,6
13,123,0,-0.59585,4,0.54663,16,7
13,124,0,-0.59585,3,-0.45337,13,8
14,125,0,-0.59585,4,0.54663,19,1
14,126,0,-0.59585,3,-0.45337,16,2
14,127,0,-0.59585,3,-0.45337,14,3
14,128,0,-0.59585,3,-0.45337,15,4
14,129,0,-0.59585,4,0.54663,12,5
14,130,0,-0.59585,4,0.54663,17,6
14,131,0,-0.59585,5,1.54663,18,7
14,132,0,-0.59585,4,0.54663,16,8
14,133,0,-0.59585,3,-0.45337,15,9
14,134,0,-0.59585,6,2.54663,18,10
14,135,0,-0.59585,4,0.54663,16,11
14,136,0,-0.59585,3,-0.45337,13,12
14,137,0,-0.59585,4,0.54663,14,13
14,138,0,-0.59585,3,-0.45337,20,14
14,139,0,-0.59585,3,-0.45337,15,15
15,140,0,-0.59585,4,0.54663,15,1
15,141,0,-0.59585,2,-1.45337,11,2
15,142,0,-0.59585,3,-0.45337,15,3
15,143,0,-0.59585,6,2.54663,23,4
15,144,0,-0.59585,3,-0.45337,17,5
15,145,0,-0.59585,3,-0.45337,11,6
15,146,0,-0.59585,3,-0.45337,8,7
15,147,0,-0.59585,3,-0.45337,12,8
15,148,0,-0.59585,5,1.54663,21,9
15,149,0,-0.59585,5,1.54663,17,10
15,150,0,-0.59585,3,-0.45337,9,11
16,151,0,-0.59585,4,0.54663,15,1
16,152,0,-0.59585,3,-0.45337,8,2
16,153,0,-0.59585,5,1.54663,17,3
16,154,0,-0.59585,3,-0.45337,9,4
16,155,0,-0.59585,4,0.54663,13,5
16,156,0,-0.59585,3,-0.45337,14,6
17,157,1,0.40415,5,1.54663,24,1
17,158,1,0.40415,4,0.54663,21,2
17,159,1,0.40415,4,0.54663,23,3
17,160,1,0.40415,4,0.54663,18,4
17,161,1,0.40415,3,-0.45337,14,5
17,162,1,0.40415,4,0.54663,19,6
17,163,1,0.40415,5,1.54663,24,7
17,164,1,0.40415,3,-0.45337,19,8
17,165,1,0.40415,3,-0.45337,19,9
17,166,1,0.40415,4,0.54663,22,10
17,167,1,0.40415,4,0.54663,19,11
18,168,1,0.40415,1,-2.45337,6,1
18,169,1,0.40415,4,0.54663,13,2
18,170,1,0.40415,3,-0.45337,18,3
18,171,1,0.40415,4,0.54663,15,4
18,172,1,0.40415,3,-0.45337,11,5
18,173,1,0.40415,4,0.54663,19,6
18,174,1,0.40415,3,-0.45337,11,7
19,175,1,0.40415,4,0.54663,19,1
19,176,1,0.40415,2,-1.45337,10,2
19,177,1,0.40415,1,-2.45337,6,3
19,178,1,0.40415,4,0.54663,16,4
19,179,1,0.40415,4,0.54663,18,5
19,180,1,0.40415,3,-0.45337,11,6
19,181,1,0.40415,4,0.54663,19,7
19,182,1,0.40415,2,-1.45337,7,8
19,183,1,0.40415,4,0.54663,17,9
19,184,1,0.40415,3,-0.45337,8,10
19,185,1,0.40415,3,-0.45337,13,11
19,186,1,0.40415,2,-1.45337,12,12
19,187,1,0.40415,3,-0.45337,14,13
20,188,1,0.40415,4,0.54663,26,1
20,189,1,0.40415,4,0.54663,23,2
20,190,1,0.40415,3,-0.45337,17,3
20,191,1,0.40415,5,1.54663,30,4
20,192,1,0.40415,6,2.54663,27,5
20,193,1,0.40415,4,0.54663,21,6
20,194,1,0.40415,5,1.54663,27,7
21,195,1,0.40415,4,0.54663,13,1
21,196,1,0.40415,3,-0.45337,14,2
21,197,1,0.40415,6,2.54663,24,3
21,198,1,0.40415,5,1.54663,25,4
21,199,1,0.40415,5,1.54663,17,5
22,200,1,0.40415,4,0.54663,15,1
22,201,1,0.40415,3,-0.45337,13,2
22,202,1,0.40415,5,1.54663,18,3
22,203,1,0.40415,4,0.54663,15,4
22,204,1,0.40415,4,0.54663,17,5
22,205,1,0.40415,3,-0.45337,10,6
22,206,1,0.40415,3,-0.45337,16,7
22,207,1,0.40415,3,-0.45337,14,8
22,208,1,0.40415,2,-1.45337,11,9
23,209,1,0.40415,5,1.54663,17,1
23,210,1,0.40415,4,0.54663,17,2
23,211,1,0.40415,5,1.54663,19,3
23,212,1,0.40415,4,0.54663,19,4
23,213,1,0.40415,5,1.54663,18,5
23,214,1,0.40415,4,0.54663,13,6
23,215,1,0.40415,1,-2.45337,10,7
23,216,1,0.40415,3,-0.45337,15,8
23,217,1,0.40415,3,-0.45337,13,9
24,218,1,0.40415,5,1.54663,21,1
24,219,1,0.40415,4,0.54663,16,2
24,220,1,0.40415,3,-0.45337,16,3
24,221,1,0.40415,3,-0.45337,10,4
24,222,1,0.40415,4,0.54663,18,5
24,223,1,0.40415,3,-0.45337,14,6
24,224,1,0.40415,3,-0.45337,14,7
24,225,1,0.40415,4,0.54663,19,8
24,226,1,0.40415,4,0.54663,21,9
25,227,1,0.40415,4,0.54663,18,1
25,228,1,0.40415,2,-1.45337,13,2
25,229,1,0.40415,4,0.54663,15,3
25,230,1,0.40415,3,-0.45337,12,4
25,231,1,0.40415,3,-0.45337,17,5
25,232,1,0.40415,4,0.54663,19,6
25,233,1,0.40415,5,1.54663,23,7
25,234,1,0.40415,3,-0.45337,10,8
25,235,1,0.40415,2,-1.45337,6,9
25,236,1,0.40415,4,0.54663,18,10
26,237,1,0.40415,2,-1.45337,13,1
26,238,1,0.40415,3,-0.45337,16,2
26,239,1,0.40415,3,-0.45337,14,3
26,240,1,0.40415,3,-0.45337,17,4
26,241,1,0.40415,4,0.54663,17,5
26,242,1,0.40415,4,0.54663,16,6
26,243,1,0.40415,3,-0.45337,16,7
26,244,1,0.40415,4,0.54663,16,8
26,245,1,0.40415,2,-1.45337,10,9
27,246,1,0.40415,3,-0.45337,16,1
27,247,1,0.40415,3,-0.45337,11,2
27,248,1,0.40415,3,-0.45337,10,3
27,249,1,0.40415,2,-1.45337,13,4
27,250,1,0.40415,3,-0.45337,15,5
27,251,1,0.40415,3,-0.45337,13,6
27,252,1,0.40415,3,-0.45337,14,7
27,253,1,0.40415,3,-0.45337,12,8
27,254,1,0.40415,2,-1.45337,15,9
27,255,1,0.40415,4,0.54663,18,10
27,256,1,0.40415,3,-0.45337,13,11
27,257,1,0.40415,4,0.54663,20,12
