subject,palette,user_answer,time,ref,left,right,true_answer,correct,incorrect,baseline,luminance_left,luminance_right,luminance_total,luminance_diff,lab_left,lab_right,lab_total,lab_diff,ucs_left,ucs_right,ucs_total,ucs_diff,name_left,name_right,name_total,name_diff,sal_left,sal_right,sal_ref,create_time
5993ff51f3bc994da6457fc6,blueorange,b,2728,0.6,0.4,1,a,false,1,0.20,0.826,56.529,55.703,55.703,34.081,62.605,80.463,28.524,22.946,56.637,64.090,33.691,0.998,0.957,1.000,-0.041,0.273,0.656,0.228,Wed Aug 16 2017 01:16:19 GMT-0700 (PDT)
5993ff51f3bc994da6457fc6,blueorange,a,5723,0.8,0.75,0.9,a,true,0,0.05,7.980,15.318,23.298,7.338,9.988,17.865,25.553,7.877,8.052,15.989,23.789,7.937,0.010,0.373,0.372,0.363,0.347,0.345,0.495,Wed Aug 16 2017 01:16:25 GMT-0700 (PDT)
5993ff51f3bc994da6457fc6,blueorange,a,8715,0.7,0.65,0.8,a,true,0,0.05,6.079,15.333,21.412,9.254,14.882,23.185,37.297,8.303,7.288,15.772,22.691,8.484,0.142,0.409,0.838,0.267,0.314,0.495,0.277,Wed Aug 16 2017 01:16:34 GMT-0700 (PDT)
5993ff51f3bc994da6457fc6,blueorange,b,2700,0.2,0,0.3,b,true,0,0.10,38.578,17.191,55.769,21.387,41.561,21.542,60.075,20.019,39.201,18.564,56.752,20.637,0.399,0.188,0.650,0.211,0.463,0.343,0.362,Wed Aug 16 2017 01:16:37 GMT-0700 (PDT)
5993ff51f3bc994da6457fc6,blueorange,a,1131,0.4,0.35,0.5,a,true,0,0.05,5.944,5.857,11.801,-0.087,8.328,12.946,21.006,4.618,7.015,12.388,18.921,5.373,0.015,0.699,0.822,0.684,0.294,0.211,0.273,Wed Aug 16 2017 01:16:38 GMT-0700 (PDT)
5993ff51f3bc994da6457fc6,blueorange,b,1439,0.1,0,0.15,b,true,0,0.05,21.595,8.466,30.061,13.129,23.199,9.708,32.008,13.491,21.647,8.864,30.367,12.783,0.300,0.009,0.353,0.291,0.463,0.474,0.539,Wed Aug 16 2017 01:16:39 GMT-0700 (PDT)
5993ff51f3bc994da6457fc6,blueorange,a,6841,0.6,0.55,0.7,a,true,0,0.05,3.649,11.133,14.782,7.484,13.425,29.933,43.209,16.508,6.769,14.401,20.985,7.632,0.474,0.349,0.796,-0.125,0.190,0.277,0.228,Wed Aug 16 2017 01:16:46 GMT-0700 (PDT)
5993ff51f3bc994da6457fc6,blueorange,b,1249,0.6,0.4,0.7,b,true,0,0.10,0.826,11.133,10.307,-10.307,34.081,29.933,62.655,4.148,22.946,14.401,34.575,8.545,0.998,0.349,1.000,0.649,0.273,0.277,0.228,Wed Aug 16 2017 01:16:47 GMT-0700 (PDT)
5993ff51f3bc994da6457fc6,blueorange,a,1193,0.5,0.4,0.7,a,true,0,0.10,5.857,16.164,10.307,10.307,12.946,52.854,62.655,39.908,12.388,26.370,34.575,13.982,0.699,0.914,1.000,0.215,0.273,0.277,0.211,Wed Aug 16 2017 01:16:48 GMT-0700 (PDT)
5993ff51f3bc994da6457fc6,blueorange,a,962,0.5,0.3,0.9,a,true,0,0.20,18.973,46.815,27.842,27.842,30.291,76.859,88.931,46.568,26.461,51.816,53.957,25.355,0.913,0.995,1.000,0.082,0.343,0.345,0.211,Wed Aug 16 2017 01:16:49 GMT-0700 (PDT)
