,assignmentId,question,response,condition,task
0,3e5ad454,assist_is_useful,4,Conf.+Adaptive,lsat
1,3e5ad454,expl_is_useful,4,Conf.+Adaptive,lsat
2,3e5ad454,assit_useful_detail,I usually trusted Jarvis' answer to save me from having to work myself.,Conf.+Adaptive,lsat
3,3e5ad454,,no,Conf.+Adaptive,lsat
4,3e5ad454,,"No, I enjoyed the task.",Conf.+Adaptive,lsat
5,3e5ad455,assist_is_useful,4,Conf.,lsat
6,3e5ad455,expl_is_useful,,Conf.,lsat
7,3e5ad455,assit_useful_detail,I looked at those answers first and used them as a reference if I was on the fence about the answer.,Conf.,lsat
8,3e5ad455,,no,Conf.,lsat
9,3e5ad455,,No comment.,Conf.,lsat
10,3e5ad456,assist_is_useful,4,Conf.+Single,lsat
11,3e5ad456,expl_is_useful,3,Conf.+Single,lsat
12,3e5ad456,assit_useful_detail,"I use Jarvis as a reference for answers I was uncertain about. If his answer made sense to me, then I would use it.",Conf.+Single,lsat
13,3e5ad456,,no,Conf.+Single,lsat
14,3e5ad456,,No.,Conf.+Single,lsat
15,3e5ad457,assist_is_useful,3,Conf.,lsat
16,3e5ad457,expl_is_useful,,Conf.,lsat
17,3e5ad457,assit_useful_detail,the information provided to me by jarvis was used to answer some questions but it provided some wrong answers for some question which i did not use.,Conf.,lsat
18,3e5ad457,,no,Conf.,lsat
19,3e5ad457,,none,Conf.,lsat
20,3e5ad458,assist_is_useful,3,Conf.+Double,lsat
21,3e5ad458,expl_is_useful,3,Conf.+Double,lsat
22,3e5ad458,assit_useful_detail,"I used the information mostly to reaffirm my own conclusions. 
And on occasions when I was uncertain, I consulted with Jarvis.",Conf.+Double,lsat
23,3e5ad458,,no,Conf.+Double,lsat
24,3e5ad458,,,Conf.+Double,lsat
25,3e5ad459,assist_is_useful,4,Conf.+Single,lsat
26,3e5ad459,expl_is_useful,4,Conf.+Single,lsat
27,3e5ad459,assit_useful_detail,"I would choose two answers that I thought were likely correct, and then I would look at Jarvis and compared its answers to mine. I would also read Jarvis's explanations to see if Jarvis had the same thought process as I did.",Conf.+Single,lsat
28,3e5ad459,,no,Conf.+Single,lsat
29,3e5ad459,,,Conf.+Single,lsat
30,3e5ad45a,assist_is_useful,4,Conf.+Adaptive,lsat
31,3e5ad45a,expl_is_useful,4,Conf.+Adaptive,lsat
