"","src_layout.graph","dst_layout.graph","out_layout.graph","perf::L1-DCACHE-LOAD-MISSES.graph","Count.graph","perf::DTLB-LOAD-MISSES.graph","kernel_layout.graph","Hash","perf::STALLED-CYCLES-BACKEND.graph","perf::INSTRUCTIONS.graph","CYCLES_WITH_FILL_PENDING_FROM_L2.graph","perf::CACHE-MISSES.graph","perf::BRANCH-MISSES.graph","perf::STALLED-CYCLES-FRONTEND.graph","Name.graph","data_layout.graph","perf::ITLB-LOAD-MISSES.graph","layout.graph","RETIRED_BRANCH_INSTRUCTIONS_MISPREDICTED.graph","32_BYTE_INSTRUCTION_CACHE_MISSES.graph","Percent.graph","Duration (us).graph","Context.graph","perf::CYCLES.graph","Argument Shapes.graph","perf::L1-ICACHE-LOAD-MISSES.graph","X27.graph","dst_layout.vm","src_layout.vm","out_layout.vm","perf::L1-DCACHE-LOAD-MISSES.vm","Count.vm","perf::DTLB-LOAD-MISSES.vm","kernel_layout.vm","perf::STALLED-CYCLES-BACKEND.vm","perf::INSTRUCTIONS.vm","CYCLES_WITH_FILL_PENDING_FROM_L2.vm","perf::CACHE-MISSES.vm","perf::BRANCH-MISSES.vm","perf::STALLED-CYCLES-FRONTEND.vm","Name.vm","data_layout.vm","perf::ITLB-LOAD-MISSES.vm","layout.vm","RETIRED_BRANCH_INSTRUCTIONS_MISPREDICTED.vm","32_BYTE_INSTRUCTION_CACHE_MISSES.vm","Percent.vm","Duration (us).vm","Context.vm","perf::CYCLES.vm","Argument Shapes.vm","perf::L1-ICACHE-LOAD-MISSES.vm","X27.vm"
"1",NA,NA,NA,0,1,0,NA,"ca61e79ea24e53f0",0,33608,0,1694,117,2092,"fused_nn_softmax",NA,0,NA,0,0,0.00593608,5.46,"cpu0",35676,"float32[1, 1000], float32[1, 1000]",0,NA,NA,NA,NA,0,1,0,NA,0,50727,0,2009,145,1484,"fused_nn_softmax",NA,0,NA,0,0,0.0185699,6.562,"cpu0",40266,"float32[1, 1000], float32[1, 1000]",0,NA
"2",NA,NA,NA,0,1,0,NA,"01c3b4fed726a186",0,21198,0,2467,142,9101,"fused_nn_global_avg_pool2d",NA,0,"NCHW32c",0,0,0.00966081,8.886,"cpu0",48561,"float32[1, 16, 7, 7, 32], float32[1, 16, 1, 1, 32]",0,NA,NA,NA,NA,0,1,0,NA,0,21999,0,2353,152,9422,"fused_nn_global_avg_pool2d",NA,0,"NCHW32c",0,0,0.0270201,9.548,"cpu0",50409,"float32[1, 16, 7, 7, 32], float32[1, 16, 1, 1, 32]",0,NA
"3",NA,NA,"NCHW32c",0,1,0,"OIHW512i32o","fa27baff2951f2ee",0,2706540,0,3883,2929,14716,"fused_nn_contrib_conv2d_NCHWc_add_nn_relu_7","NCHW512c",0,NA,0,0,0.815561,750.152,"cpu0",1502255,"float32[1, 1, 7, 7, 512], float32[16, 1, 3, 3, 512, 32], float32[1, 16, 1, 1, 32], float32[1, 16, 7, 7, 32]",0,NA,NA,NA,"NCHW32c",0,1,0,"OIHW512i32o",0,2673221,0,7194,771,13071,"fused_nn_contrib_conv2d_NCHWc_add_nn_relu_7","NCHW512c",0,NA,0,0,1.60641,567.651,"cpu0",2110740,"float32[1, 1, 7, 7, 512], float32[16, 1, 3, 3, 512, 32], float32[1, 16, 1, 1, 32], float32[1, 16, 7, 7, 32]",0,NA
"4",NA,NA,"NCHW32c",0,1,0,"OIHW512i32o","32425e677e52262b",0,2676656,0,3545,158,8163,"fused_nn_contrib_conv2d_NCHWc_add_3","NCHW512c",0,NA,0,0,0.447718,411.81,"cpu0",859825,"float32[1, 1, 7, 7, 512], float32[16, 1, 3, 3, 512, 32], float32[1, 16, 7, 7, 32], float32[1, 16, 7, 7, 32]",0,NA,NA,NA,"NCHW32c",0,1,0,"OIHW512i32o",0,2678085,0,9250,204,10712,"fused_nn_contrib_conv2d_NCHWc_add_3","NCHW512c",0,NA,0,0,1.57723,557.341,"cpu0",1889317,"float32[1, 1, 7, 7, 512], float32[16, 1, 3, 3, 512, 32], float32[1, 16, 7, 7, 32], float32[1, 16, 7, 7, 32]",0,NA
"5","NCHW32c","NCHW512c",NA,0,2,0,NA,"79319db67f43f523",0,26517,0,4505,256,10186,"fused_layout_transform_30",NA,0,NA,0,0,0.0181583,16.702,"cpu0",77433,"float32[1, 16, 7, 7, 32], float32[1, 1, 7, 7, 512]",0,NA,"NCHW512c","NCHW32c",NA,0,2,0,NA,0,29693,0,4497,361,7821,"fused_layout_transform_30",NA,0,NA,0,0,0.0845439,29.875,"cpu0",114854,"float32[1, 16, 7, 7, 32], float32[1, 1, 7, 7, 512]",0,NA
"6","NCHW32c","NCHW512c",NA,0,1,0,NA,"257e670aea3c9ef5",0,14194,0,2170,130,4124,"fused_add_nn_relu_layout_transform_3",NA,0,NA,0,0,0.0130485,12.002,"cpu0",36945,"float32[1, 16, 7, 7, 32], float32[1, 16, 1, 1, 32], float32[1, 1, 7, 7, 512]",0,NA,"NCHW512c","NCHW32c",NA,0,1,0,NA,0,15916,0,2196,198,5366,"fused_add_nn_relu_layout_transform_3",NA,0,NA,0,0,0.0484822,17.132,"cpu0",58277,"float32[1, 16, 7, 7, 32], float32[1, 16, 1, 1, 32], float32[1, 1, 7, 7, 512]",0,NA
"7",NA,NA,"NCHW32c",0,1,0,"OIHW8i32o","3ade51e0c6ea8f9b",0,1315509,0,4515,192,7760,"fused_nn_contrib_conv2d_NCHWc_add_nn_relu_6","NCHW8c",0,NA,0,0,0.232856,214.181,"cpu0",452073,"float32[1, 32, 14, 14, 8], float32[16, 32, 3, 3, 8, 32], float32[1, 16, 1, 1, 32], float32[1, 16, 7, 7, 32]",0,NA,NA,NA,"NCHW32c",0,1,0,"OIHW8i32o",0,1316700,0,13077,217,13798,"fused_nn_contrib_conv2d_NCHWc_add_nn_relu_6","NCHW8c",0,NA,0,0,5.08318,1796.23,"cpu0",1027324,"float32[1, 32, 14, 14, 8], float32[16, 32, 3, 3, 8, 32], float32[1, 16, 1, 1, 32], float32[1, 16, 7, 7, 32]",0,NA
"8","NCHW16c","NCHW8c",NA,0,1,0,NA,"439e553c0594cc28",0,12256,0,2464,129,3270,"fused_layout_transform_29",NA,0,NA,0,0,0.00917158,8.436,"cpu0",28051,"float32[1, 16, 14, 14, 16], float32[1, 32, 14, 14, 8]",0,NA,"NCHW8c","NCHW16c",NA,0,1,0,NA,0,13147,0,1960,118,4602,"fused_layout_transform_29",NA,0,NA,0,0,0.0322668,11.402,"cpu0",57203,"float32[1, 16, 14, 14, 16], float32[1, 32, 14, 14, 8]",0,NA
"9",NA,NA,"NCHW64c",0,1,0,"OIHW32i64o","2c45490f14a7ca9a",0,1703092,0,5259,417,13387,"fused_nn_contrib_conv2d_NCHWc_add_nn_relu_2","NCHW32c",0,NA,0,0,1.24904,1148.87,"cpu0",1117510,"float32[1, 2, 56, 56, 32], float32[2, 2, 3, 3, 32, 64], float32[1, 2, 1, 1, 64], float32[1, 2, 28, 28, 64]",0,NA,NA,NA,"NCHW64c",0,1,0,"OIHW32i64o",0,1704040,0,4907,350,18089,"fused_nn_contrib_conv2d_NCHWc_add_nn_relu_2","NCHW32c",0,NA,0,0,0.821648,290.343,"cpu0",1241969,"float32[1, 2, 56, 56, 32], float32[2, 2, 3, 3, 32, 64], float32[1, 2, 1, 1, 64], float32[1, 2, 28, 28, 64]",0,NA
"10",NA,NA,"NCHW16c",0,1,0,"OIHW128i16o","a510498d78c9beff",0,2886179,0,6443,299,6754,"fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_2","NCHW128c",0,NA,0,0,0.487442,448.348,"cpu0",942318,"float32[1, 2, 14, 14, 128], float32[16, 2, 3, 3, 128, 16], float32[1, 16, 14, 14, 16], float32[1, 16, 1, 1, 16], float32[1, 16, 14, 14, 16]",0,NA,NA,NA,"NCHW16c",0,1,0,"OIHW128i16o",0,2887683,0,7194,325,9176,"fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_2","NCHW128c",0,NA,0,0,0.98436,347.84,"cpu0",1442947,"float32[1, 2, 14, 14, 128], float32[16, 2, 3, 3, 128, 16], float32[1, 16, 14, 14, 16], float32[1, 16, 1, 1, 16], float32[1, 16, 14, 14, 16]",0,NA
