"","Percent","Duration","Count","Name","Context","perf::CYCLES","Argument Shapes","perf::INSTRUCTIONS","perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS","Hash","perf::CACHE-REFERENCES","perf::BRANCH-MISSES","perf::CACHE-MISSES","X14","executor"
"1",0.880399,829.601,2,"fused_nn_contrib_conv2d_NCHWc_add_nn_relu_6","cpu0",1784902,"float32[1, 1, 56, 56, 64], float32[2, 1, 3, 3, 64, 32], float32[1, 2, 1, 1, 32], float32[1, 2, 56, 56, 32]",5223674,38300,"83e0f5d1673ff2ae",178054,0,8464,NA,"graph"
"2",0.711282,670.242,1,"fused_nn_contrib_conv2d_NCHWc_add_nn_relu_7","cpu0",1607394,"float32[1, 1, 224, 224, 3], float32[2, 1, 7, 7, 3, 32], float32[1, 2, 1, 1, 32], float32[1, 2, 112, 112, 32]",170327,28118,"fd5ff17ee689d21e",56384,163,5050,NA,"graph"
"3",0.527504,497.068,1,"fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_2","cpu0",1227709,"float32[1, 1, 56, 56, 64], float32[2, 1, 3, 3, 64, 32], float32[1, 2, 56, 56, 32], float32[1, 2, 1, 1, 32], float32[1, 2, 56, 56, 32]",2610509,16841,"3d4ef73e1332a711",96910,0,3878,NA,"graph"
"4",0.464807,437.988,1,"fused_nn_contrib_conv2d_NCHWc_add_1","cpu0",1139387,"float32[1, 2, 14, 14, 128], float32[16, 2, 3, 3, 128, 16], float32[1, 16, 14, 14, 16], float32[1, 16, 14, 14, 16]",2871045,26824,"a4d3ad431e89368c",53147,0,5950,NA,"graph"
"5",0.454335,428.12,1,"fused_nn_contrib_conv2d_NCHWc_add_nn_relu_5","cpu0",1048816,"float32[1, 2, 56, 56, 32], float32[2, 2, 3, 3, 32, 64], float32[1, 2, 1, 1, 64], float32[1, 2, 28, 28, 64]",1701123,21374,"2c45490f14a7ca9a",86651,0,4540,NA,"graph"
"6",0.444648,418.992,1,"fused_nn_contrib_conv2d_NCHWc_add_3","cpu0",910869,"float32[1, 1, 56, 56, 64], float32[2, 1, 3, 3, 64, 32], float32[1, 2, 56, 56, 32], float32[1, 2, 56, 56, 32]",1525479,18164,"4d5264dc543c91a8",89767,278,4566,NA,"graph"
"7",0.433962,408.923,1,"fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_1","cpu0",1138039,"float32[1, 1, 28, 28, 128], float32[4, 1, 3, 3, 128, 32], float32[1, 4, 28, 28, 32], float32[1, 4, 1, 1, 32], float32[1, 4, 28, 28, 32]",2613450,25974,"03f0e99b0296c379",89009,0,4357,NA,"graph"
"8",0.422788,398.394,1,"fused_nn_contrib_conv2d_NCHWc_add_2","cpu0",1088611,"float32[1, 1, 28, 28, 128], float32[4, 1, 3, 3, 128, 32], float32[1, 4, 28, 28, 32], float32[1, 4, 28, 28, 32]",2610741,25463,"107256fb6742645a",89038,0,4879,NA,"graph"
"9",0.414017,390.129,1,"fused_nn_contrib_conv2d_NCHWc_add_nn_relu_4","cpu0",1101866,"float32[1, 1, 28, 28, 128], float32[4, 1, 3, 3, 128, 32], float32[1, 4, 1, 1, 32], float32[1, 4, 28, 28, 32]",2610666,25391,"60d935c984b3b19a",87236,0,4360,NA,"graph"
"10",0.388011,365.623,1,"fused_nn_contrib_conv2d_NCHWc_add_nn_relu_2","cpu0",1083349,"float32[1, 2, 14, 14, 128], float32[16, 2, 3, 3, 128, 16], float32[1, 16, 1, 1, 16], float32[1, 16, 14, 14, 16]",2889235,20591,"8cf1297a388fbc37",51503,0,5213,NA,"graph"
"11",0.285422,268.953,1,"fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu","cpu0",1054043,"float32[1, 2, 14, 14, 128], float32[16, 2, 3, 3, 128, 16], float32[1, 16, 14, 14, 16], float32[1, 16, 1, 1, 16], float32[1, 16, 14, 14, 16]",2884508,14526,"a510498d78c9beff",53202,0,5301,NA,"graph"
"12",0.283933,267.55,1,"fused_nn_contrib_conv2d_NCHWc_add_nn_relu","cpu0",1057696,"float32[1, 1, 7, 7, 512], float32[16, 1, 3, 3, 512, 32], float32[1, 16, 1, 1, 32], float32[1, 16, 7, 7, 32]",2660503,13864,"fa27baff2951f2ee",91088,0,3344,NA,"graph"
"13",0.269377,253.834,1,"fused_nn_contrib_conv2d_NCHWc_add_multiply_add_nn_relu","cpu0",1013702,"float32[1, 1, 7, 7, 512], float32[16, 1, 3, 3, 512, 32], float32[1, 16, 7, 7, 32], float32[1, 16, 1, 1, 32], float32[1, 16, 1, 1, 32], float32[1, 16, 7, 7, 32]",2643337,13907,"02414d6a041943a2",87574,0,3131,NA,"graph"
"14",0.265326,250.017,1,"fused_nn_contrib_conv2d_NCHWc_add","cpu0",1000757,"float32[1, 1, 7, 7, 512], float32[16, 1, 3, 3, 512, 32], float32[1, 16, 7, 7, 32], float32[1, 16, 7, 7, 32]",2674722,13855,"32425e677e52262b",82570,0,3440,NA,"graph"
"15",0.237034,223.357,1,"fused_nn_contrib_conv2d_NCHWc_add_nn_relu_3","cpu0",655282,"float32[1, 16, 28, 28, 8], float32[8, 16, 3, 3, 8, 32], float32[1, 8, 1, 1, 32], float32[1, 8, 14, 14, 32]",1384461,15086,"e7b5afa076a0f303",64184,0,4053,NA,"graph"
"16",0.172465,162.514,3,"fused_layout_transform_26","cpu0",297353,"float32[1, 2, 56, 56, 32], float32[1, 1, 56, 56, 64]",47166,8484,"b93ed533ccb758d2",19306,0,5886,NA,"graph"
"17",0.1712,161.322,1,"fused_nn_contrib_conv2d_NCHWc_1","cpu0",289875,"float32[1, 8, 56, 56, 8], float32[4, 8, 1, 1, 8, 32], float32[1, 4, 28, 28, 32]",133557,3200,"5662315346a7365c",10280,0,3623,NA,"graph"
"18",0.163522,154.087,1,"fused_nn_contrib_conv2d_NCHWc","cpu0",385058,"float32[1, 4, 56, 56, 16], float32[4, 4, 1, 1, 16, 16], float32[1, 4, 56, 56, 16]",366124,7483,"4a3e247c38edeab5",12753,0,2873,NA,"graph"
"19",0.1512,142.476,1,"fused_nn_contrib_conv2d_NCHWc_add_nn_relu_1","cpu0",517881,"float32[1, 32, 14, 14, 8], float32[16, 32, 3, 3, 8, 32], float32[1, 16, 1, 1, 32], float32[1, 16, 7, 7, 32]",1315474,9849,"3ade51e0c6ea8f9b",49465,0,3901,NA,"graph"
"20",0.120494,113.542,1,"fused_nn_max_pool2d_add_nn_relu","cpu0",233522,"float32[1, 2, 112, 112, 32], float32[1, 2, 1, 1, 32], float32[1, 2, 56, 56, 32]",108989,11629,"62f8d31f7e46ca2a",37546,0,6477,NA,"graph"
"21",0.0829098,78.126,1,"fused_layout_transform_28","cpu0",128777,"float32[1, 2, 56, 56, 32], float32[1, 4, 56, 56, 16]",18106,3854,"d50fa1adb6e2f9e3",6366,0,2649,NA,"graph"
"22",0.0631444,59.501,1,"fused_add_layout_transform","cpu0",79085,"float32[1, 3, 224, 224], float32[3, 1, 1], float32[1, 1, 224, 224, 3]",44104,6307,"69355d3cc810f874",6866,0,2566,NA,"graph"
"23",0.0614644,57.918,1,"fused_layout_transform_29","cpu0",116583,"float32[1, 2, 56, 56, 32], float32[1, 8, 56, 56, 8]",21318,3987,"37c1387e7e7af316",7655,0,3920,NA,"graph"
"24",0.0484187,45.625,1,"fused_nn_contrib_conv2d_NCHWc_2","cpu0",143329,"float32[1, 2, 28, 28, 64], float32[16, 2, 1, 1, 64, 16], float32[1, 16, 14, 14, 16]",181362,5082,"c0ec5cd9ca121caa",8877,0,3585,NA,"graph"
"25",0.0424111,39.964,1,"fused_layout_transform_27","cpu0",94888,"float32[1, 4, 56, 56, 16], float32[1, 2, 56, 56, 32]",14522,2431,"b9fd1629745c0504",5959,0,2359,NA,"graph"
"26",0.0398174,37.52,1,"fused_add_nn_relu_layout_transform_3","cpu0",85076,"float32[1, 2, 56, 56, 32], float32[1, 2, 1, 1, 32], float32[1, 1, 56, 56, 64]",16609,2363,"d675f67ef0839b61",6463,0,1874,NA,"graph"
"27",0.030036,28.303,1,"fused_layout_transform_25","cpu0",40636,"float32[1, 2, 28, 28, 64], float32[1, 1, 28, 28, 128]",12276,2538,"3744ca7f040bd8b3",4672,0,1809,NA,"graph"
"28",0.02877,27.11,1,"fused_nn_contrib_conv2d_NCHWc_3","cpu0",108632,"float32[1, 2, 14, 14, 128], float32[16, 2, 1, 1, 128, 32], float32[1, 16, 7, 7, 32]",181164,4101,"e8734f3d315f8894",9957,0,2523,NA,"graph"
"29",0.0245601,23.143,2,"fused_layout_transform_21","cpu0",106052,"float32[1, 16, 14, 14, 16], float32[1, 2, 14, 14, 128]",19538,3908,"14420dc564d7559a",7950,0,3596,NA,"graph"
"30",0.0243266,22.923,1,"fused_layout_transform_30","cpu0",100983,"float32[1, 4, 28, 28, 32], float32[1, 2, 28, 28, 64]",11409,2044,"ed48b9142e4b736f",4817,0,1928,NA,"graph"
"31",0.0218709,20.609,1,"fused_nn_contrib_dense_pack_add","cpu0",95150,"float32[1, 512], float32[100, 512, 10], float32[1000], float32[1, 1000]",107885,5996,"b3e97ac9d98d4d02",6916,0,1636,NA,"graph"
"32",0.0196805,18.545,1,"fused_add_nn_relu_layout_transform_2","cpu0",83732,"float32[1, 4, 28, 28, 32], float32[1, 4, 1, 1, 32], float32[1, 1, 28, 28, 128]",12332,1998,"3a74e2d111d92c1a",4767,0,1896,NA,"graph"
"33",0.019584,18.454,1,"fused_layout_transform_24","cpu0",87095,"float32[1, 4, 28, 28, 32], float32[1, 1, 28, 28, 128]",11077,1938,"dcb565bebcb860f4",4577,0,1851,NA,"graph"
"34",0.0158102,14.898,2,"fused_layout_transform_19","cpu0",79130,"float32[1, 16, 7, 7, 32], float32[1, 1, 7, 7, 512]",23644,4210,"092277d9fff75bcf",7995,0,3617,NA,"graph"
